 ,Area,Mean,Perim.,Circ.,AR,Round,Solidity
1858,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
1859,27,255,17.8995,1.0000,1.2104,0.8262,0.9474
1860,22,255,16.7279,0.9880,1.1134,0.8981,0.8800
1861,3,255,5.6569,1.0000,1.4638,0.6831,0.8571
1862,5,255,7.6569,1.0000,1.5530,0.6439,0.9091
1863,8,255,9.0711,1.0000,1.2286,0.8139,0.9412
1864,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
1865,9,255,11.3137,0.8836,1.1529,0.8674,0.7200
1866,3,255,6.2426,0.9674,3.0000,0.3333,1.0000
1867,10,255,10.4853,1.0000,1.2356,0.8093,0.9091
1868,153,255,44.2843,0.9804,1.0386,0.9629,0.9358
1869,4,255,5.6569,1.0000,1.0000,1.0000,1.0000
1870,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
1871,6,255,8.4853,1.0000,1.2910,0.7746,0.8000
1872,3,255,5.6569,1.0000,1.4639,0.6831,0.8571
1873,6,255,9.0711,0.9163,1.5933,0.6276,0.8571
1874,65,255,29.7990,0.9199,1.4554,0.6871,0.8904
1875,4,255,5.6569,1.0000,1.0000,1.0000,1.0000
1876,4,255,5.6569,1.0000,1.0000,1.0000,1.0000
1877,9,255,9.6569,1.0000,1.0000,1.0000,1.0000
1878,13,255,11.8995,1.0000,1.1592,0.8627,0.8966
1879,6,255,9.0711,0.9163,2.0817,0.4804,0.8571
1880,6,255,8.4853,1.0000,1.2910,0.7746,0.8000
1881,2,255,4.2426,1.0000,2.0000,0.5000,1.0000
1882,23,255,17.3137,0.9642,1.1493,0.8701,0.8846
1883,3,255,6.8284,0.8085,3.0000,0.3333,1.0000
1884,4,255,8.4853,0.6981,1.6367,0.6110,0.7273
1885,8,255,9.0711,1.0000,1.2286,0.8139,0.9412
1886,155,255,45.6985,0.9327,1.0363,0.9650,0.9172
1887,15,255,13.0711,1.0000,1.1366,0.8798,0.9677
1888,5,255,8.4853,0.8727,1.0000,1.0000,0.7143
1889,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
1890,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
1891,2,255,4.2426,1.0000,2.0000,0.5000,1.0000
1892,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
1893,23,255,17.3137,0.9642,1.4306,0.6990,0.8846
1894,2,255,4.8284,1.0000,2.0000,0.5000,1.0000
1895,4,255,7.6569,0.8574,1.4676,0.6814,0.8000
1896,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
1897,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
1898,7,255,9.0711,1.0000,1.0688,0.9356,0.8750
1899,2,255,4.2426,1.0000,2.0000,0.5000,1.0000
1900,9,255,9.6569,1.0000,1.0000,1.0000,1.0000
1901,2,255,5.6569,0.7854,2.6457,0.3780,0.6667
1902,3,255,5.6569,1.0000,1.4638,0.6831,0.8571
1903,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
1904,2,255,4.2426,1.0000,2.0000,0.5000,1.0000
1905,2,255,4.8284,1.0000,2.0000,0.5000,1.0000
1906,3,255,5.6569,1.0000,1.4638,0.6831,0.8571
1907,14,255,12.7279,1.0000,1.2637,0.7913,0.8485
1908,20,255,15.3137,1.0000,1.0381,0.9633,0.9091
1909,9,255,10.4853,1.0000,1.3403,0.7461,0.8571
1910,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
1911,5,255,7.6569,1.0000,1.5530,0.6439,0.9091
1912,61,255,28.3848,0.9514,1.3012,0.7685,0.9037
1913,6,255,7.6569,1.0000,1.5000,0.6667,1.0000
1914,9,255,9.6569,1.0000,1.0000,1.0000,1.0000
1915,24,255,18.7279,0.8599,1.1750,0.8510,0.8727
1916,142,255,43.4558,0.9449,1.0752,0.9301,0.9281
1917,22,255,16.7279,0.9880,1.2043,0.8303,0.8800
1918,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
1919,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
1920,55,255,27.2132,0.9333,1.3747,0.7274,0.8800
1921,3,255,5.6569,1.0000,1.4638,0.6831,0.8571
1922,14,255,12.4853,1.0000,1.0199,0.9805,0.9333
1923,2,255,4.2426,1.0000,2.0000,0.5000,1.0000
1924,4,255,5.6569,1.0000,1.0000,1.0000,1.0000
1925,2,255,4.2426,1.0000,2.0000,0.5000,1.0000
1926,14,255,12.4853,1.0000,1.1245,0.8893,0.9333
1927,237,255,60.7696,0.8065,1.2472,0.8018,0.9011
1928,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
1929,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
1930,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
1931,3,255,5.6569,1.0000,1.4638,0.6831,0.8571
1932,197,255,51.1127,0.9476,1.0247,0.9759,0.9314
1933,3,255,5.6569,1.0000,1.4639,0.6831,0.8571
1934,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
1935,3,255,5.6569,1.0000,1.4638,0.6831,0.8571
1936,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
1937,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
1938,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
